Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Porc, travers, braisé;Viande;1380;48,8;18;149;226;30,4;0,1;1,2;0,11;3;5;23,1;0;0;0;49,4;26,6
Sanglier, rôti;Viande;643;60;27;134;396;16;0;1,12;0,056;3,01;0;28,3;0;0;0;63,9;4,38
Steak haché  5% MG, cru;Viande;507;58;22;184;353;7;0,0105;2,65;0,081;4,54;3,8;19,6;0;0;0;73,8;4,69
Steak haché  5% MG, cuit;Viande;664;65;22;180;348;7;0,014;2,83;0,096;6,43;6,1;26,3;0;0;0;66;5,85
Steak haché 10% MG, cru;Viande;705;65,5;21;177;323;8,5;0,0105;2,17;0,0775;4,8;3,8;20,6;0;0;0;70,2;9,6
Steak haché 10% MG, cuit;Viande;877;68;22;202;333;13;0,013;2,71;0,091;6,37;6,1;26,1;0;0;0;61,4;11,7
Steak haché 15% MG, cru;Viande;830;110;15,3;155;226;10,2;0,04;2,58;0,09;4,82;6,53;18,7;0;0;0;65,9;13,6
Steak haché 15% MG, cuit;Viande;997;185;29,4;196;384;15;0,0595;2,6;0,0782;5,08;6,1;23,6;0;0;0;59;16,1
Steak haché 20% MG, cru;Viande;1180;64,5;17;164;271;11;0,0105;1,77;0,06;4,04;4;16,8;0;0;0;58,1;24,2
Steak haché 20% MG, cuit;Viande;1150;75;20;115;304;24;0,011;2,48;0,08;4,3;6,1;25,8;0;0;0;56,7;19,2
Veau, collier, cru;Viande;522;0;0;0;0;0;0;1,01;0;4,29;0;17,8;0;0;0;73,8;5,92
Veau, côte, crue;Viande;752;60;15;200;301;11;0;1,26;0;4,29;2,8;16,4;0;0;0;68,9;12,8
Veau, côte, cuite;Viande;991;100;22,5;196;304;29;0,1;0,9;0,1;3,9;31;25,2;0;0;0;58,4;15,1
Veau, épaule, crue;Viande;486;51;0;172;330;10;0;1,16;0;3,98;2,8;18,5;0;0;0;74,9;4,63
Veau, escalope, cuite;Viande;629;128;29,5;0;0;10,8;0,0121;1;0,0672;3,21;6;31;0;0;0;65;2,75
Veau, filet, rôti;Viande;585;0;0;0;0;0;0;0;0;0;6;28,4;0;0;0;65,1;2,75
Veau, jarret, cru;Viande;458;0;0;0;0;0;0;1,2;0;5,01;0;19;0;0;0;75,4;3,65
Veau, mijoté;Viande;833;85,7;25,8;235;324;22,8;0,0335;1,21;0,129;4,94;8;30,8;0;0;0;60,1;8,35
Veau, noix, crue;Viande;428;0;0;0;0;0;0;0,918;0;2,64;0;19,6;0;0;0;75,4;2,57
